q,Alcohol,Opiate,alcoholD,OpiateD,Alcohol_0.025,Alcohol_0.5,Alcohol_0.975,Opiate_0.025,Opiate_0.5,Opiate_0.975,alcoholD_0.025,alcoholD_0.5,alcoholD_0.975,opiateD_0.025,opiateD_0.5,opiateD_0.975
Q3-2017,0.394033246950256,0.645102807870882,,,0.386476714853978,0.393947116950358,0.401405340807846,0.638808138238687,0.645113481575974,0.651271084736523,,,,,,
Q4-2017,0.42094378642602,0.675455061329608,0.0269105394757639,0.0303522534587263,0.413239708102073,0.420999937425693,0.428725772643596,0.669203327457913,0.675402257855802,0.681417107939147,0.0163205850924684,0.0269674201522094,0.0376013601545979,0.0212208097895158,0.0303023519535652,0.0387686841987466
Q1-2018,0.438126009693053,0.69271294492651,0.0171822232670334,0.0172578835969013,0.430346894740951,0.438215287511847,0.445934945115637,0.686713296053873,0.692741992000639,0.698710032402534,0.00620024521539895,0.0172396889150492,0.0281038195311383,0.00877039736359379,0.0173465229183415,0.0260701606843138
Q2-2018,0.4483093036788,0.701504835422178,0.0101832939857467,0.0087918904956682,0.440486057591213,0.448244532305151,0.456065536265562,0.695498290058972,0.70153504909116,0.707484810171422,-0.00106932437473068,0.00994201873176001,0.0211963040443931,0.000479608787625918,0.00874298554823411,0.0173049606483173
Q3-2018,0.454961250158811,0.706932865291795,0.00665194648001083,0.00542802986961677,0.447372649580162,0.455001732590069,0.462718882798776,0.700920714960026,0.70686047903719,0.712846349560025,-0.00414234969057394,0.0067779840644637,0.0177796144051624,-0.00303896634965261,0.00532720831606126,0.0138742680829674
Q4-2018,0.462124523824393,0.70832431496472,0.00716327366558184,0.00139144967292548,0.454438074336236,0.462137385806576,0.469867078953733,0.702477982531704,0.708336936781112,0.714254994478796,-0.00378350654386442,0.00708245259420248,0.0179890502015178,-0.00680630622766214,0.0015351507974643,0.00984243807032935
Q1-2019,0.468856244787992,0.712406096660732,0.00673172096359886,0.00408178169601192,0.460995556882887,0.468817339416427,0.476750366927415,0.706539395164818,0.712393976112169,0.718279290859329,-0.00409703025482171,0.00663287771393434,0.0176775194430263,-0.00413272008715434,0.00401980350040593,0.0122744550931671
Q2-2019,0.468179513184584,0.706542614485084,-0.000676731603407366,-0.00586348217564825,0.460732545338854,0.468125414505744,0.475785688148326,0.700799269489668,0.706551790284149,0.712257775294427,-0.0118186352847511,-0.000618575995132237,0.0103676316963533,-0.0140962915596375,-0.00586039805264038,0.00232416203727618
Q3-2019,0.468054780938217,0.709703458237743,-0.000124732246367665,0.00316084375265946,0.460532756025828,0.468062566211753,0.475763673265497,0.703827191481574,0.709738660385309,0.715477874143943,-0.0112220553679724,-0.000194950187440202,0.0106294009479654,-0.00514136083024623,0.00322709604734261,0.0114292030728973
Q4-2019,0.467631378522468,0.710229929023758,-0.000423402415748897,0.000526470786014643,0.459897330325723,0.467574838213965,0.475296475606822,0.704233119891315,0.710237855459361,0.715916521333653,-0.0112267494052299,-0.000485355689734235,0.0103173748911472,-0.00779923311160011,0.000476308147164373,0.00866576980427349
Q1-2020,0.463223987698616,0.711742701122243,-0.0044073908238515,0.00151277209848488,0.455377006967063,0.463216654873928,0.47102386990295,0.705892476332862,0.711734860088209,0.717666578290697,-0.0154590459813657,-0.00433595114334107,0.00669757062832901,-0.00679781194134323,0.00154786746840874,0.00963743756826521
Q2-2020,0.468508360319873,0.711695040710585,0.00528437262125697,-0.0000476604116580459,0.460476050076102,0.46845740392178,0.476493657883791,0.705954813715648,0.711671095456603,0.717462177803618,-0.00558719717373402,0.00529213327519296,0.016466084391273,-0.00845696282471443,-0.0000608034085002873,0.00800716836310787
Q3-2020,0.462025725551031,0.709840167904424,-0.00648263476884214,-0.00185487280616115,0.454202648174047,0.461966664877077,0.469970934139158,0.704301275381882,0.709909800738529,0.715364090161223,-0.0177874121478533,-0.006527220004164,0.00488339009275718,-0.00976637520056328,-0.00177692927121331,0.0062499624738127
Q4-2020,0.468433794773108,0.70338393551291,0.00640806922207726,-0.00645623239151394,0.460710935556168,0.468424340927309,0.476104966225966,0.697811142967586,0.703346362470992,0.70910355012361,-0.00475041525987302,0.00650290612000093,0.017597889532802,-0.0143872872023435,-0.00649857162238815,0.00154358784632515
Q1-2021,0.463429438543247,0.696463944030008,-0.00500435622986084,-0.00691999148290168,0.455878736249069,0.463482466747279,0.471075970738346,0.690503977250428,0.696459541323664,0.702324501010568,-0.0157289937299072,-0.00505968041601115,0.00581808852585731,-0.0150064479038543,-0.00693625619041083,0.00103357964211988
