q,unstand,alcohol,opiate,alcoholD,opiateD,unstand_0.025,unstand_0.5,unstand_0.975,alcohol_0.025,alcohol_0.5,alcohol_0.975,opiate_0.025,opiate_0.5,opiate_0.975,alcoholD_0.025,alcoholD_0.5,alcoholD_0.975,opiateD_0.025,opiateD_0.5,opiateD_0.975
Q1-2017,0.159327461969576,0.181313969160345,0.196754449711097,,,0.149392525884383,0.159274590971812,0.169438518037722,0.16805463501388,0.181331115226128,0.195082896764234,0.179024356935123,0.196748828183975,0.215120455572783,,,,,,
Q2-2017,0.175848303393214,0.195718964764761,0.21168239719542,0.0144049956044162,0.0149279474843231,0.165341456840332,0.175852758195075,0.18657322035201,0.181983859761118,0.195688255644953,0.209802473016348,0.193090780903188,0.211492456441774,0.230439480593578,-0.005021554868255,0.0145119896409831,0.0340050628436476,-0.0113580611508818,0.0148500206499875,0.0414214871094176
Q3-2017,0.158566221142163,0.180997890302321,0.19869919977974,-0.0147210744624396,-0.0129831974156799,0.148582648777413,0.158456736218129,0.168889091646391,0.167031427402058,0.180767040318024,0.194980531667155,0.180239784723624,0.198593872060134,0.21794029351328,-0.0347932939206487,-0.0147904288530498,0.00485317624141938,-0.0397264509534688,-0.0128542806620835,0.0135944947528426
Q4-2017,0.167071197411003,0.185086836078138,0.202616474588979,0.00408894577581639,0.00391727480923909,0.156866594805461,0.166970989833791,0.177484874751714,0.170865401331653,0.185025354623743,0.199394691945924,0.182657609045051,0.20253038778059,0.222850859575599,-0.015786433675875,0.00413931543184552,0.024125284288131,-0.0243550667504661,0.00384943397935322,0.0321589619994657
Q1-2018,0.16597510373444,0.189815964086209,0.209238269597653,0.00472912800807171,0.00662179500867419,0.155935578798729,0.165955776214797,0.17634198059038,0.17613021839248,0.189616711804738,0.203860040094466,0.190399908675021,0.208987848038411,0.228382525685904,-0.0148594476133591,0.00462953179632526,0.0244817864380672,-0.020930321607714,0.00640650471712967,0.0342090737120706
Q2-2018,0.177764682773522,0.209048090907958,0.230819302992402,0.0192321268217491,0.0215810333947486,0.1672534867676,0.177703103380115,0.188210004871191,0.194576232402579,0.208948067787948,0.223487778515101,0.211304212807624,0.230777250646185,0.250644503874189,-0.000813229808963355,0.0191542073792233,0.0391671456025277,-0.00570016705173975,0.0218111574191332,0.0489950968542197
Q3-2018,0.167596652052611,0.196957840121988,0.22451733879152,-0.0120902507859709,-0.00630196420088144,0.157316490174199,0.167436490633883,0.177855684564391,0.182340148268399,0.196848392100499,0.21157888257825,0.204231594903857,0.224500449337875,0.245006445414601,-0.0321990520138228,-0.0121442727499649,0.00846772386268513,-0.0346320529099386,-0.00618102899833335,0.0219025113149304
Q4-2018,0.163212946516677,0.190079239658574,0.213179645135287,-0.00687860046341351,-0.0113376936562331,0.153141462872654,0.163120573132976,0.173429763166598,0.175951628658708,0.190034814639756,0.204412060403672,0.194151879141093,0.213077866665848,0.23249553510474,-0.0270179634010487,-0.00685997479402553,0.0139494161628623,-0.0392981864473032,-0.0113511106086316,0.0171250102788308
Q1-2019,0.149389042175798,0.179406999405778,0.199973314953455,-0.0106722402527965,-0.0132063301818326,0.139539116510164,0.14941502843552,0.159082328554344,0.165813674423482,0.17938354050535,0.193265373972577,0.181345437342325,0.199836308231036,0.219250034842582,-0.0305262153260913,-0.0107092144397442,0.00958116988062928,-0.0402523110517858,-0.013126318871387,0.0137021300701185
Q2-2019,0.15841784989858,0.179212954785328,0.19859871700493,-0.000194044620449751,-0.00137459794852496,0.148199825358369,0.158389258854,0.168742571856054,0.165082750182576,0.179241446118486,0.193441707480443,0.179568395560197,0.198402207795071,0.217926094843114,-0.0197116467242936,-0.000175268486515542,0.0195865897463811,-0.0278004951812268,-0.0013297499446239,0.0252702103198989
Q3-2019,0.153861347027454,0.176206102522231,0.191395703993534,-0.00300685226309644,-0.00720301301139567,0.143975661367399,0.153922739944245,0.163992906054058,0.162903539549595,0.176290679979676,0.189731160656043,0.173881687828677,0.191471919232726,0.209423508823041,-0.02235735037883,-0.00300746161615358,0.0166455626414474,-0.0328256747915319,-0.00714273898881677,0.0193724867338993
Q4-2019,0.154806005069214,0.163787035391589,0.183351560833461,-0.0124190671306428,-0.00804414316007288,0.14501859348649,0.154622022201677,0.164519955586507,0.151431360173341,0.163638786002667,0.176270869631861,0.166951608638576,0.183125787057978,0.199961132053499,-0.0305984644161854,-0.0126092756105105,0.00594346604777328,-0.0325533773361094,-0.00825731903351462,0.016231151154524
Q1-2020,0.143674698795181,0.16426309773108,0.170203730776627,0.000476062339490935,-0.0131478300568344,0.131967416258558,0.14380165393754,0.155614561503779,0.148295974973354,0.164454871861436,0.180767094462687,0.149919565037981,0.170502335345836,0.192384238042775,-0.0196841752820321,0.000762597370671719,0.0214393974930382,-0.0395576694187219,-0.0127087804164457,0.0145735459139974
Q2-2020,0.131184103811841,0.154461819702401,0.183837850102863,-0.00980127802867856,0.0136341193262364,0.121866629978103,0.131132370457031,0.140634873546509,0.141743716262957,0.15439922724323,0.167354778054386,0.165214863364958,0.183837342927156,0.202464587717872,-0.0306733985651294,-0.010009146000246,0.0109766831074092,-0.0153324063981632,0.0132079595969071,0.0418874387766705
Q3-2020,0.131144197430145,0.142938217599172,0.162700856895483,-0.0115236021032294,-0.0211369932073804,0.12178173781173,0.131134350387827,0.140438880947854,0.131008955931687,0.14290833763975,0.155156855892499,0.145882818206122,0.162525188927797,0.180289882407986,-0.029070950202466,-0.011587500927912,0.00634872533438138,-0.0465371626221262,-0.0213532758441727,0.00456971949290539
