q,unstand,alcohol,opiate,alcoholD,opiateD,unstand_0.025,unstand_0.5,unstand_0.975,alcohol_0.025,alcohol_0.5,alcohol_0.975,opiate_0.025,opiate_0.5,opiate_0.975,alcoholD_0.025,alcoholD_0.5,alcoholD_0.975,opiateD_0.025,opiateD_0.5,opiateD_0.975
Q1-2017,0.165459297451839,0.17559997721298,0.193561810325116,,,0.154272695955967,0.165472274288522,0.176887751196476,0.162031538696994,0.17562735597624,0.190004290371465,0.174856084967487,0.19355670322226,0.213442208515331,,,,,,
Q2-2017,0.183844424173973,0.192240979766875,0.208301474834351,0.0166410025538947,0.0147396645092352,0.172428276768896,0.183819033930271,0.195560891804446,0.178309476902523,0.192222021410529,0.206412455430366,0.189449571201651,0.208337141145206,0.228225312261924,-0.00300037191025137,0.0165912088701447,0.0362279240225763,-0.0122889413564487,0.014623836030578,0.0417690421212974
Q3-2017,0.170116242925706,0.18481700325807,0.201161392532349,-0.00742397650880461,-0.0071400823020023,0.158748379887127,0.170119445432075,0.181795934826502,0.169939628837116,0.184727748703,0.199666531854556,0.181388101153629,0.201126428373903,0.221328229398309,-0.0275680540796096,-0.0075160975188797,0.0129270354737182,-0.0340508888219762,-0.00721675829226769,0.0209435197252911
Q4-2017,0.174838937542031,0.184146674735065,0.201868380789477,-0.000670328523004526,0.0007069882571277,0.163165867636797,0.174813812019276,0.186619185251997,0.169336652477707,0.184110064367425,0.199507368958249,0.181027367006994,0.201733340427748,0.223540767940218,-0.0216349166840456,-0.000654769666919464,0.0202975234193818,-0.0280622774244984,0.00065591526312149,0.0295865218313577
Q1-2018,0.172729531985703,0.183689272925433,0.20120027224809,-0.00045740180963208,-0.000668108541387186,0.161573780239461,0.17258115223656,0.183951699643354,0.169792889021982,0.183604375092998,0.19802644065854,0.182066542015236,0.20108584049505,0.220485290285202,-0.0211356616212981,-0.000441298824682385,0.020169768413846,-0.0293185257644525,-0.00081160177366113,0.0278238423419956
Q2-2018,0.179714283285915,0.197431249303178,0.220715950016309,0.0137419763777449,0.0195156777682193,0.168233239197753,0.179516146339658,0.191037120871752,0.18296066226088,0.197148880951262,0.212414653257087,0.200384782409906,0.220345027274873,0.24185954216962,-0.00658035971704735,0.0135787103417168,0.0339873912559163,-0.00902809336690456,0.0193570595034499,0.0477481666625438
Q3-2018,0.179249506844607,0.198104624247732,0.225075839699429,0.000673374944554078,0.00435988968311993,0.167751964513378,0.179201488389142,0.190772921002999,0.183292888056298,0.198034052795627,0.213209572729586,0.20448800271097,0.224910931941852,0.246042309986482,-0.0199951942877021,0.000891009473273516,0.0216102072343088,-0.0247141255917806,0.00472456345338687,0.0337605715024743
Q4-2018,0.164278690981516,0.178149391520187,0.201947096980758,-0.0199552327275455,-0.0231287427186711,0.153067072672346,0.164303608423561,0.175396273896246,0.16440773759673,0.177979312532039,0.192427378109514,0.183100439326235,0.201723720930746,0.22168182282789,-0.0405287615449674,-0.0198784074140334,0.000118639375255754,-0.0518246178959672,-0.0230046822205646,0.00442567154377725
Q1-2019,0.147521453367975,0.168033819672796,0.188819262496442,-0.0101155718473906,-0.0131278344843154,0.137086243731005,0.147530079931109,0.157996531685536,0.154126279828499,0.168043532098357,0.181979928109071,0.169916937610971,0.188795405740556,0.208237120552124,-0.0300828851381941,-0.0100118355933089,0.00981678011229294,-0.0403906772456713,-0.0130926016834766,0.0143466689359197
Q2-2019,0.159102564057704,0.168827641901799,0.185896231413251,0.000793822229002816,-0.00292303108319139,0.148021337327696,0.158962125247907,0.170403860930665,0.154807748844562,0.168762786430958,0.183306263611888,0.166736210560166,0.185801996075767,0.205948538668262,-0.018736426078842,0.000775320185690875,0.0207746228391015,-0.0294886823197595,-0.0029157197819243,0.0251475369016751
Q3-2019,0.156608178252775,0.171729718496201,0.188749225773291,0.00290207659440198,0.00285299436003983,0.145827236377048,0.156681134565174,0.167638621295971,0.158099232056885,0.171856883379163,0.186129522335148,0.170655134359719,0.188739341404521,0.207861253158749,-0.0170851701725997,0.00297887673183141,0.0226452609677166,-0.0241444573213924,0.00284820188136496,0.0295986910171339
Q4-2019,0.160722572010081,0.168561336200492,0.186774199060876,-0.00316838229570909,-0.00197502671241515,0.149056506813381,0.160662791676441,0.1723688120308,0.154508911827202,0.168493157286778,0.183159297471058,0.168081930176803,0.186624273113513,0.205502149748272,-0.0231274721868116,-0.00335538460781154,0.016437701724954,-0.0285801065439259,-0.00214294102430644,0.0239331857297121
Q1-2020,0.144136742772523,0.155619193191165,0.158631554689117,-0.0129421430093267,-0.0281426443717589,0.130949856684638,0.144099738804441,0.157771973390402,0.138812794248492,0.155673900441389,0.173062800537601,0.138242037233311,0.158622350322965,0.179948897532362,-0.034731877920705,-0.0129231020497989,0.00962125525307925,-0.0556212889952248,-0.0279866933972815,0.000557122800524629
Q2-2020,0.15197592716756,0.163178105314209,0.194480400753432,0.00755891212304419,0.0358488460643151,0.140601607419308,0.151879179742015,0.163422658219275,0.148970846379746,0.163157127081984,0.177294182798064,0.174025786400794,0.194237936137568,0.215313352730431,-0.0148561677646308,0.00745553726167518,0.0291543120666337,0.0060518684095595,0.0356126916881277,0.0656395906802729
Q3-2020,0.147475477195262,0.153382943974494,0.176357930646911,-0.00979516133971536,-0.018122470106521,0.136283916029076,0.147415146008258,0.158948674619495,0.139757255477972,0.153261314353002,0.167466228197628,0.15686639640469,0.176092617928251,0.19693151675417,-0.0295662894211027,-0.00966389268028882,0.0100910789446759,-0.0473170620170216,-0.0182661705763056,0.0108529272957949
